timestamps,TP9,AF7,AF8,TP10,Right AUX
1673935182.864,980.957,981.934,979.004,981.445,0.000
1673935182.868,964.844,965.820,965.332,965.332,0.000
1673935182.871,964.844,965.820,965.332,965.332,0.000
1673935182.875,964.355,965.332,965.332,965.332,0.000
1673935182.879,964.844,965.332,965.332,965.332,0.000
1673935182.883,964.844,965.332,965.820,965.332,0.000
1673935182.887,964.844,965.332,965.332,965.332,0.000
1673935182.891,964.355,965.332,965.332,965.332,0.000
1673935182.894,964.844,965.332,965.820,965.332,0.000
1673935182.898,964.844,965.332,965.332,965.332,0.000
1673935182.902,964.844,965.820,965.332,965.332,0.000
1673935182.906,964.844,965.820,965.332,965.332,0.000
1673935182.911,964.844,965.332,965.332,965.332,0.000
1673935182.914,964.844,965.332,965.332,965.332,0.000
1673935182.918,964.844,965.332,965.332,965.332,0.000
1673935182.922,964.844,965.332,965.820,965.332,0.000
1673935182.926,964.844,965.332,965.820,965.332,0.000
1673935182.930,968.750,967.773,971.680,968.262,0.000
1673935182.934,946.289,953.613,929.688,950.684,0.000
1673935182.937,932.129,921.875,985.352,926.758,0.000
1673935182.941,-934.570,-916.992,858.398,-924.316,0.000
1673935182.945,-105.957,-17.578,-394.043,-55.664,0.000
1673935182.949,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935182.953,-947.754,-957.031,-899.414,-953.125,0.000
1673935182.958,-994.141,-988.281,-1000.000,-990.723,0.000
1673935182.961,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935182.965,-1000.000,-1000.000,-999.512,-1000.000,0.000
1673935182.969,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935182.973,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935182.977,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935182.981,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935182.984,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935182.988,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935182.992,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935182.996,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935183.000,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935183.004,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935183.008,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935183.012,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935183.016,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935183.020,-925.781,-925.781,-931.641,-925.781,0.000
1673935183.024,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673935183.027,-562.012,-522.461,-378.906,-509.766,0.000
1673935183.031,878.906,904.785,966.797,912.598,0.000
1673935183.035,-988.770,-996.582,977.539,-999.023,0.000
1673935183.039,910.156,914.062,925.293,915.039,0.000
1673935183.043,980.469,979.980,976.562,979.980,0.000
1673935183.047,964.844,965.332,965.820,965.820,0.000
1673935183.051,964.844,965.820,965.332,965.332,0.000
1673935183.055,964.844,965.820,965.332,965.332,0.000
1673935183.059,964.844,965.820,965.820,965.332,0.000
1673935183.063,964.844,965.820,965.332,965.332,0.000
1673935183.066,964.844,965.820,965.332,965.332,0.000
1673935183.070,964.844,965.820,965.820,965.332,0.000
