timestamps,TP9,AF7,AF8,TP10,Right AUX
1673934644.262,950.684,949.219,-989.746,949.219,0.000
1673934644.265,-970.703,-963.379,783.203,-963.379,0.000
1673934644.269,-233.398,-221.191,-607.910,-221.191,0.000
1673934644.272,-1000.000,-1000.000,-880.859,-1000.000,0.000
1673934644.276,-937.500,-937.988,-608.398,-937.988,0.000
1673934644.279,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.283,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.286,-1000.000,-1000.000,-989.258,-1000.000,0.000
1673934644.290,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.293,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.297,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.300,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.306,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.309,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.313,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.316,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.320,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.323,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.327,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.330,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.334,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.337,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.341,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.344,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.352,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.355,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.359,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.362,-937.988,-937.988,-937.988,-937.988,0.000
1673934644.366,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.369,-221.680,-221.191,-218.262,-221.191,0.000
1673934644.373,-964.355,-962.891,-962.402,-963.379,0.000
1673934644.376,948.730,949.219,948.730,949.219,0.000
1673934644.380,937.500,937.988,938.477,938.477,0.000
1673934644.383,971.680,972.168,972.168,972.168,0.000
1673934644.387,964.844,965.332,965.332,965.332,0.000
1673934644.390,964.844,965.820,965.332,965.332,0.000
1673934644.397,964.355,965.820,965.820,965.332,0.000
1673934644.401,964.844,965.820,965.332,965.332,0.000
1673934644.404,964.844,965.332,965.332,965.332,0.000
1673934644.408,964.844,965.332,965.332,965.332,0.000
1673934644.411,964.844,965.332,965.332,965.332,0.000
1673934644.415,964.844,965.332,965.820,965.332,0.000
1673934644.418,964.844,965.332,965.332,965.332,0.000
1673934644.422,964.844,965.332,965.332,965.332,0.000
1673934644.425,964.844,965.820,969.727,965.820,0.000
1673934644.429,965.332,966.309,945.801,966.309,0.000
1673934644.433,901.855,903.320,949.707,902.832,0.000
1673934644.436,-896.973,-895.996,967.773,-896.484,0.000
1673934644.443,186.035,186.035,-125.488,186.035,0.000
1673934644.446,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.450,-984.375,-984.375,-966.797,-984.375,0.000
1673934644.453,-973.145,-973.145,-994.629,-973.145,0.000
1673934644.457,-1000.000,-1000.000,-935.059,-1000.000,0.000
1673934644.461,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.464,-1000.000,-1000.000,-377.930,-1000.000,0.000
1673934644.468,-1000.000,-1000.000,271.973,-1000.000,0.000
1673934644.471,-1000.000,-1000.000,-909.180,-1000.000,0.000
1673934644.475,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.478,-1000.000,-1000.000,-947.266,-1000.000,0.000
1673934644.482,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.488,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.492,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.495,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.499,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.503,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934644.506,-1000.000,-1000.000,-1000.000,-1000.000,0.000
