timestamps,TP9,AF7,AF8,TP10,Right AUX
1673934946.694,-984.375,-984.375,-977.539,-984.375,0.000
1673934946.698,-973.145,-973.145,-979.492,-973.145,0.000
1673934946.702,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.706,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.710,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.714,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.718,-1000.000,-1000.000,-999.512,-1000.000,0.000
1673934946.721,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.725,-1000.000,-1000.000,-998.047,-1000.000,0.000
1673934946.729,-1000.000,-1000.000,-982.422,-1000.000,0.000
1673934946.733,-1000.000,-1000.000,-997.070,-1000.000,0.000
1673934946.737,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.741,-1000.000,-1000.000,-999.023,-1000.000,0.000
1673934946.745,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.749,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.753,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.757,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.761,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.764,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.768,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.772,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.776,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.780,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.784,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.788,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.792,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.796,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.800,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.804,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.807,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.811,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.815,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.819,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.823,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.827,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.831,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.835,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.839,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.843,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.846,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.850,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.854,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.858,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.862,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.866,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.870,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.874,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.878,-1000.000,-1000.000,-999.512,-1000.000,0.000
1673934946.882,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.886,-1000.000,-1000.000,-998.535,-1000.000,0.000
1673934946.889,-1000.000,-1000.000,-981.445,-1000.000,0.000
1673934946.893,-1000.000,-1000.000,-997.070,-1000.000,0.000
1673934946.897,-994.141,-990.723,-995.117,-988.281,0.000
1673934946.901,-947.754,-953.125,-948.730,-957.031,0.000
1673934946.905,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934946.909,-105.957,-51.758,-83.496,-17.578,0.000
1673934946.913,-934.570,-923.828,-930.176,-916.992,0.000
1673934946.917,932.129,925.781,930.176,921.875,0.000
1673934946.921,946.289,951.172,948.730,953.613,0.000
1673934946.925,968.750,968.262,968.750,967.773,0.000
1673934946.928,964.844,965.332,965.332,965.820,0.000
1673934946.932,964.844,965.332,965.332,965.332,0.000
1673934946.936,964.844,965.820,965.332,965.332,0.000
1673934946.940,964.355,965.332,965.332,965.332,0.000
1673934946.944,964.844,965.332,965.332,965.332,0.000
1673934946.948,964.844,965.332,965.332,965.332,0.000
1673934946.952,964.844,965.820,965.332,965.820,0.000
1673934946.956,964.844,965.332,965.332,965.332,0.000
1673934946.960,964.844,965.332,965.332,965.332,0.000
1673934946.964,964.844,965.332,965.332,965.332,0.000
1673934946.968,964.844,965.332,965.332,965.332,0.000
1673934946.971,964.844,965.332,965.332,965.332,0.000
1673934946.975,964.844,965.332,965.332,965.332,0.000
1673934946.979,964.844,965.820,965.332,965.332,0.000
1673934946.983,964.844,965.820,965.332,965.332,0.000
1673934946.987,964.844,965.332,965.332,965.820,0.000
1673934946.991,964.844,965.332,965.820,965.332,0.000
1673934946.995,964.355,965.332,965.332,965.332,0.000
1673934946.999,964.355,965.332,965.332,965.332,0.000
1673934947.003,964.844,965.820,968.750,965.820,0.000
1673934947.007,965.332,966.309,949.707,966.309,0.000
1673934947.011,902.344,902.344,938.965,902.832,0.000
1673934947.014,-896.973,-895.996,-992.676,-895.996,0.000
1673934947.018,185.547,186.523,-59.570,186.035,0.000
1673934947.022,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.026,-984.375,-984.375,-968.262,-984.375,0.000
1673934947.030,-973.145,-973.145,-985.352,-973.145,0.000
1673934947.034,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.038,-1000.000,-1000.000,-999.512,-1000.000,0.000
1673934947.042,-1000.000,-1000.000,-999.512,-1000.000,0.000
1673934947.046,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.050,-1000.000,-1000.000,-949.219,-1000.000,0.000
1673934947.053,-1000.000,-1000.000,-960.449,-1000.000,0.000
1673934947.057,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.061,-1000.000,-1000.000,-997.070,-1000.000,0.000
1673934947.065,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.069,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.073,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.077,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.081,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.085,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.089,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.093,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.096,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.100,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.104,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.108,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.112,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.116,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.120,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.124,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1673934947.128,-1000.000,-1000.000,-1000.000,-1000.000,0.000
